time,H_VV_out_alpha,H_VV_out_beta
250.0,-2.21048531876627e+19,-2.21048531876627e+19
251.0,-2.219327260041335e+19,-2.219327260041335e+19
252.0,-2.2281692013164003e+19,-2.2281692013164003e+19
253.0,-2.2370111425914655e+19,-2.2370111425914655e+19
254.0,-2.24585308386653e+19,-2.24585308386653e+19
255.0,-2.2546950251415953e+19,-2.2546950251415953e+19
256.0,-2.2635369664166605e+19,-2.2635369664166605e+19
257.0,-2.2723789076917256e+19,-2.2723789076917256e+19
258.0,-2.2812208489667908e+19,-2.2812208489667908e+19
259.0,-2.290062790241856e+19,-2.290062790241856e+19
260.0,-2.298904731516921e+19,-2.298904731516921e+19
261.0,-2.3077466727919858e+19,-2.3077466727919858e+19
262.0,-2.316588614067051e+19,-2.316588614067051e+19
263.0,-2.325430555342116e+19,-2.325430555342116e+19
264.0,-2.334272496617181e+19,-2.334272496617181e+19
265.0,-2.3431144378922463e+19,-2.3431144378922463e+19
266.0,-2.3519563791673115e+19,-2.3519563791673115e+19
267.0,-2.3607983204423766e+19,-2.3607983204423766e+19
268.0,-2.3696402617174413e+19,-2.3696402617174413e+19
269.0,-2.3784822029925065e+19,-2.3784822029925065e+19
270.0,-2.3873241442675716e+19,-2.3873241442675716e+19
271.0,-2.3961660855426367e+19,-2.3961660855426367e+19
272.0,-2.405008026817702e+19,-2.405008026817702e+19
273.0,-2.413849968092767e+19,-2.413849968092767e+19
274.0,-2.422691909367832e+19,-2.422691909367832e+19
275.0,-2.431533850642897e+19,-2.431533850642897e+19
276.0,-2.440375791917962e+19,-2.440375791917962e+19
277.0,-2.449217733193027e+19,-2.449217733193027e+19
278.0,-2.4580596744680923e+19,-2.4580596744680923e+19
279.0,-2.4669016157431575e+19,-2.4669016157431575e+19
280.0,-2.4757435570182226e+19,-2.4757435570182226e+19
281.0,-2.4845854982932877e+19,-2.4845854982932877e+19
282.0,-2.4934274395683525e+19,-2.4934274395683525e+19
283.0,-2.5022693808434176e+19,-2.5022693808434176e+19
284.0,-2.5111113221184827e+19,-2.5111113221184827e+19
285.0,-2.519953263393548e+19,-2.519953263393548e+19
286.0,-2.528795204668613e+19,-2.528795204668613e+19
287.0,-2.537637145943678e+19,-2.537637145943678e+19
288.0,-2.5464790872187433e+19,-2.5464790872187433e+19
289.0,-2.555321028493808e+19,-2.555321028493808e+19
290.0,-2.564162969768873e+19,-2.564162969768873e+19
291.0,-2.5730049110439383e+19,-2.5730049110439383e+19
292.0,-2.5818468523190034e+19,-2.5818468523190034e+19
293.0,-2.5906887935940686e+19,-2.5906887935940686e+19
294.0,-2.5995307348691337e+19,-2.5995307348691337e+19
295.0,-2.608372676144199e+19,-2.608372676144199e+19
296.0,-2.6172146174192636e+19,-2.6172146174192636e+19
297.0,-2.6260565586943287e+19,-2.6260565586943287e+19
298.0,-2.634898499969394e+19,-2.634898499969394e+19
299.0,-2.643740441244459e+19,-2.643740441244459e+19
300.0,-2.652582382519524e+19,-2.652582382519524e+19
301.0,-2.6614243237945893e+19,-2.6614243237945893e+19
302.0,-2.6702662650696544e+19,-2.6702662650696544e+19
303.0,-2.679108206344719e+19,-2.679108206344719e+19
304.0,-2.6879501476197843e+19,-2.6879501476197843e+19
305.0,-2.6967920888948494e+19,-2.6967920888948494e+19
306.0,-2.7056340301699146e+19,-2.7056340301699146e+19
307.0,-2.7144759714449797e+19,-2.7144759714449797e+19
308.0,-2.723317912720045e+19,-2.723317912720045e+19
309.0,-2.73215985399511e+19,-2.73215985399511e+19
310.0,-2.7410017952701747e+19,-2.7410017952701747e+19
311.0,-2.74984373654524e+19,-2.74984373654524e+19
312.0,-2.758685677820305e+19,-2.758685677820305e+19
313.0,-2.76752761909537e+19,-2.76752761909537e+19
314.0,-2.7763695603704353e+19,-2.7763695603704353e+19
315.0,-2.7852115016455004e+19,-2.7852115016455004e+19
316.0,-2.7940534429205656e+19,-2.7940534429205656e+19
317.0,-2.8028953841956303e+19,-2.8028953841956303e+19
318.0,-2.8117373254706954e+19,-2.8117373254706954e+19
319.0,-2.8205792667457606e+19,-2.8205792667457606e+19
320.0,-2.8294212080208257e+19,-2.8294212080208257e+19
321.0,-2.838263149295891e+19,-2.838263149295891e+19
322.0,-2.847105090570956e+19,-2.847105090570956e+19
323.0,-2.855947031846021e+19,-2.855947031846021e+19
324.0,-2.864788973121086e+19,-2.864788973121086e+19
325.0,-2.873630914396151e+19,-2.873630914396151e+19
326.0,-2.882472855671216e+19,-2.882472855671216e+19
327.0,-2.8913147969462813e+19,-2.8913147969462813e+19
328.0,-2.9001567382213464e+19,-2.9001567382213464e+19
