environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
543,49.9540275875358,5.08015064958803e-06,49.8099757503906,1.59919878650532e-11,49.8676521825096,5.0801346566826e-06,49.7500003419833,1.59920812952611e-11,49.8653535586908,5.08013465759983e-06,0.450001413447214,0.630614156589499,49.9080551750716,5.08015064958363e-06
544,49.9540275856383,5.0801508447486e-06,49.809975395013,1.5992081222075e-11,49.8676521771597,5.08013485345475e-06,49.7500003419812,1.59919871471091e-11,49.8653535532498,5.08013485267102e-06,0.450001407797052,0.630614148671585,49.9080551712765,5.08015084475664e-06
545,49.954027584156,5.08015099758484e-06,49.8099757461213,1.59919865050733e-11,49.867652172971,5.08013500460727e-06,49.750000341983,1.59920802554595e-11,49.8653535489835,5.08013500559614e-06,0.450001416131141,0.630614160350649,49.908055168312,5.08015099757722e-06
546,49.9540275829913,5.0801511164078e-06,49.8099753911751,1.59920802905326e-11,49.8676521696902,5.08013512527022e-06,49.7500003419808,1.59919861073914e-11,49.8653535456423,5.0801351243316e-06,0.450001409071696,0.630614150457822,49.9080551659826,5.08015111641725e-06
547,49.9540275820771,5.08015120944222e-06,49.8099757434195,1.59919856931804e-11,49.8676521671209,5.08013521640843e-06,49.7500003419827,1.59920795350029e-11,49.8653535430301,5.08013521745457e-06,0.450001417194702,0.63061416184108,49.9080551641544,5.08015120943492e-06
548,49.9540275813649,5.08015128156623e-06,49.8099753705143,1.59920846019759e-11,49.8676521651132,5.08013529059581e-06,49.7500003419804,1.59919812399358e-11,49.8653535409798,5.08013528948574e-06,0.450001410472886,0.630614152421393,49.9080551627298,5.08015128157513e-06
549,49.9540275807993,5.08015133795362e-06,49.8099756294912,1.59920151329585e-11,49.8676521635364,5.08013534554102e-06,49.7500003419817,1.59920491472768e-11,49.8653535393808,5.08013534593734e-06,0.450001414845883,0.630614158549538,49.9080551615986,5.08015133794925e-06
550,49.9540275803658,5.08015138166634e-06,49.8099755480963,1.59920365178254e-11,49.8676521623144,5.08013538971263e-06,49.7500003419811,1.5992028051897e-11,49.8653535381316,5.0801353896301e-06,0.450001415566894,0.630614159559935,49.9080551607316,5.08015138166775e-06
551,49.9540275800141,5.08015141561499e-06,49.8099755636856,1.59920321055896e-11,49.8676521613439,5.08013542355873e-06,49.750000341981,1.59920318391169e-11,49.8653535371484,5.08013542358412e-06,0.450001413663265,0.630614156892264,49.9080551600282,5.08015141561555e-06
552,49.9540275797545,5.08015144191005e-06,49.8099755645573,1.59920316821244e-11,49.8676521606074,5.08013544998644e-06,49.7500003419809,1.59920324363558e-11,49.8653535363923,5.08013544987715e-06,0.450001416929288,0.630614161469139,49.908055159509,5.08015144190904e-06
553,49.9540275795325,5.08015146223331e-06,49.8099755628985,1.5992031965393e-11,49.8676521600081,5.08013547001418e-06,49.7500003419807,1.5992031757652e-11,49.8653535357895,5.0801354702042e-06,0.450001413452014,0.630614156596225,49.908055159065,5.08015146223443e-06
554,49.9540275793832,5.08015147791888e-06,49.809975562894,1.59920318556453e-11,49.8676521595736,5.08013548615633e-06,49.7500003419806,1.59920320360547e-11,49.8653535353374,5.08013548588537e-06,0.45000141816936,0.630614163206928,49.9080551587665,5.08015147791684e-06
555,49.9540275792369,5.08015148999298e-06,49.8099755627188,1.59920318001708e-11,49.8676521591961,5.08013549760939e-06,49.7500003419804,1.59920319955356e-11,49.8653535349648,5.08013549796487e-06,0.450001412640998,0.630614155459699,49.9080551584738,5.08015148999675e-06
556,49.9540275791603,5.08015149927143e-06,49.8099755625892,1.59920317753427e-11,49.8676521589527,5.0801355076578e-06,49.7500003419802,1.59920319551019e-11,49.8653535347019,5.08013550723628e-06,0.450001419849603,0.630614165561554,49.9080551583206,5.08015149926814e-06
557,49.9540275790539,5.08015150637409e-06,49.8099755624604,1.59920317387384e-11,49.867652158702,5.08013551382513e-06,49.7500003419801,1.59920319147535e-11,49.8653535344651,5.08013551434694e-06,0.45000141109691,0.630614153295876,49.9080551581079,5.08015150637584e-06
