time [second],TC1/v_mm3_s [mm3_per_s],TC2/v_mm3_s [mm3_per_s],TC3/v_mm3_s [mm3_per_s],TC4/v_mm3_s [mm3_per_s],TC5/v_mm3_s [mm3_per_s],TC6/v_mm3_s [mm3_per_s],V07/v_mm3_s [mm3_per_s],V02/v_mm3_s [mm3_per_s],V03/v_mm3_s [mm3_per_s],TC1/u_mmHg [dimensionless],TC2/u_mmHg [dimensionless],TC3/u_mmHg [dimensionless],TC4/u_mmHg [dimensionless],TC5/u_mmHg [dimensionless],TC6/u_mmHg [dimensionless],V07/u_mmHg [dimensionless],V02/u_mmHg [dimensionless],V03/u_mmHg [dimensionless],TC1/H_mean [dimensionless],TC2/H_mean [dimensionless],TC3/H_mean [dimensionless],TC4/H_mean [dimensionless],TC5/H_mean [dimensionless],TC6/H_mean [dimensionless],V07/H_mean [dimensionless],V02/H_mean [dimensionless],V03/H_mean [dimensionless]
168.0,1.1902218302590058e-07,1.6523131692087957e-07,-2.8401067410285666e-07,3.6569628437627e-06,3.7428727571452733e-06,2.187636479950832e-06,3.994262120600858e-06,3.9945049492963706e-06,2.4282856291578966e-10,47.277155619821436,47.278749628532026,47.46626556740788,47.34925071705066,47.25405691223383,47.31404347509958,49.04523211137035,49.365393273067134,49.11587149603206,0.45896102450941684,0.6985777367948094,0.5993101025471899,0.45076025485170157,0.5151543619482061,0.33217754358759066,0.41372892134428246,0.4137037704142053,0.3445526045286509
169.0,1.1901372294483654e-07,1.652201055978417e-07,-2.8399100645440383e-07,3.6569628120862407e-06,3.742872756057281e-06,2.187636495116278e-06,3.9942621119891874e-06,3.9945049404919205e-06,2.4282827856868655e-10,47.27715865343391,47.27875069232128,47.466266631218616,47.34925071824406,47.254056915709775,47.31404347785616,49.045232113521585,49.365393274443065,49.11587149867496,0.4590672321965791,0.69866228386574,0.5993517808569863,0.45076025975404016,0.515192044232822,0.33217754216131995,0.4137289211941948,0.4137037703064673,0.344539749956072
170.0,1.1900585361677195e-07,1.6520955050171833e-07,-2.839725907191347e-07,3.656962787539749e-06,3.7428727517319243e-06,2.187636507091304e-06,3.994262104504935e-06,3.994504931019389e-06,2.4282809435653555e-10,47.27716126906787,47.27875165738895,47.46626759631626,47.34925071945805,47.254056919142464,47.314043480582896,49.04523211570401,49.36539327589611,49.115871501395425,0.4591613567753288,0.6987407692646642,0.5993909379359664,0.4507602636490219,0.5152292526603651,0.332177541309492,0.4137289212824543,0.41370377026440236,0.34452689587724045
171.0,1.1899849697377833e-07,1.6519964990706905e-07,-2.8395533197082656e-07,3.656962773359885e-06,3.7428727467201476e-06,2.1876365165002076e-06,3.994262097325004e-06,3.994504928326125e-06,2.428276860331552e-10,47.27716352847675,47.27875253961787,47.4662684786349,47.34925072004386,47.254056922532456,47.314043483335965,49.04523211676998,49.36539327643028,49.115871502895004,0.45924514137037653,0.6988136923761726,0.5994277298386963,0.4507602658560657,0.5152659933400077,0.33217754094480717,0.4137289204930983,0.41370377001880354,0.3445140422906296
172.0,1.1899158346236939e-07,1.6519039215247734e-07,-2.8393914837375225e-07,3.656962807970778e-06,3.7428727208577775e-06,2.1876365223997912e-06,3.994262097474965e-06,3.994504934976091e-06,2.428271861282261e-10,47.27716548163722,47.278753352757015,47.466269291619334,47.34925071963141,47.254056925880036,47.314043485686746,49.04523211593557,49.365393275401686,49.115871502437685,0.45932002502843167,0.6988815055987865,0.5994622930022409,0.4507602607840093,0.5153022718489809,0.33217754102768327,0.41372891838417375,0.4137037693966166,0.3445011891951102
173.0,1.1898503166481996e-07,1.651817517131548e-07,-2.8392395890014803e-07,3.65696281707282e-06,3.742872686620684e-06,2.1876365213027963e-06,3.994262088756725e-06,3.994504918662203e-06,2.42827303626036e-10,47.277167176922866,47.278754106939324,47.46627004580928,47.349250721657945,47.2540569291859,47.314043487841296,49.04523211951715,49.3653932778537,49.115871506564034,0.45938746353563076,0.6989446697816704,0.5994947723898242,0.45076026015613163,0.5153380944572028,0.33217754230506313,0.41372891884345403,0.41370376932883435,0.34448833658935346
174.0,1.1897880037272975e-07,1.651737195757731e-07,-2.839096958588172e-07,3.6569627815699328e-06,3.7428726717806453e-06,2.1876365160265324e-06,3.994262072223078e-06,3.9945048934080966e-06,2.4282747126182383e-10,47.27716865501807,47.278754812327755,47.466270751214665,47.349250724573025,47.25405693245083,47.31404349083157,49.04523212490436,49.36539328194379,49.11587151261499,0.4594485610428298,0.6990035263408895,0.5995252853132771,0.4507602661738634,0.5153734665293537,0.33217754477131256,0.41372892108166254,0.413703769825678,0.3444754844725479
175.0,1.1897284463708505e-07,1.651662723874692e-07,-2.838962911704236e-07,3.6569627498148522e-06,3.7428726791592565e-06,2.187636514877145e-06,3.9942620635418785e-06,3.99450488764023e-06,2.4282718865685377e-10,47.277169954647576,47.27875547782529,47.46627141667957,47.34925072522503,47.25405693567538,47.31404349465357,49.04523212622934,49.365393283021504,49.115871514564674,0.45950439415499394,0.6990584519804423,0.5995539545922937,0.45076027090794496,0.5154083938986059,0.33217754689013923,0.41372892184677607,0.41370377015820053,0.3444626328443375
176.0,1.1896712237562491e-07,1.6515938558060183e-07,-2.838836853279709e-07,3.656962760717596e-06,3.742872684442283e-06,2.187636520346313e-06,3.994262069397427e-06,3.994504900831687e-06,2.428267343251886e-10,47.27717110773304,47.27875610981685,47.466272048706365,47.34925072377383,47.254056938859776,47.314043497904436,49.04523212354735,49.365393280898815,49.11587151243139,0.4595558726809864,0.6991097652402897,0.5995808922467332,0.4507602688739511,0.5154428821623219,0.3321775475015088,0.4137289202459288,0.413703769893237,0.34444978170440455
177.0,1.1896160896060985e-07,1.6515303615765564e-07,-2.838718242591168e-07,3.6569628168114937e-06,3.742872657722392e-06,2.187636523163136e-06,3.9942620782300295e-06,3.994504907225523e-06,2.428267363110862e-10,47.27717214249047,47.27875671463883,47.46627265349328,47.349250722824145,47.254056942004176,47.314043499501935,49.045232121672036,49.36539327945695,49.11587151128172,0.4596037454083886,0.6991577560662698,0.5996061994436751,0.4507602605756041,0.5154769366063762,0.3321775477780676,0.4137289197569756,0.4137037697756933,0.3444369310521117
