time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,PV1__R_constriction,PV2__R_constriction,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C
803.0,0.4500014295949727,0.6299568712286859,49.954075332601576,49.908150665203145,49.870085871850996,49.810043120233836,49.86778516355219,49.75000036861668,49.86548445525339,1.6010037526846092e-11,5.074858369257298e-06,1.6010037432730077e-11,5.074858369258569e-06,1e+21,0.0,0.0,0.45,0.4500000099460107,3.3336442833451937e-18
804.0,0.4500014295949698,0.6299568712286819,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023386,49.86778516355219,49.75000036861672,49.86548445525339,1.6010037526840635e-11,5.074858369257298e-06,1.601003760596233e-11,5.074858369258566e-06,1e+21,0.0,0.0,0.45,0.45000000994601064,3.3336442833451933e-18
805.0,0.4500014295949883,0.6299568712287077,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023387,49.867785163552185,49.75000036861675,49.86548445525338,1.6010037526836997e-11,5.074858369272345e-06,1.6010037482906475e-11,5.074858369258262e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
806.0,0.45000142959500083,0.6299568712287253,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023389,49.867785163552185,49.75000036861679,49.86548445525338,1.6010037526829723e-11,5.074858369257298e-06,1.6010037359851633e-11,5.0748583692582565e-06,1e+21,0.0,0.0,0.45,0.4500000099460111,3.333644283345193e-18
807.0,0.45000142959498723,0.6299568712287062,49.95407533260157,49.908150665203145,49.87008587185099,49.810043120233914,49.867785163552185,49.75000036861683,49.86548445525338,1.6010037526824263e-11,5.074858369257298e-06,1.601003753308682e-11,5.074858369258255e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
808.0,0.4500014295949956,0.629956871228718,49.954075332601576,49.90815066520315,49.870085871850996,49.81004312023393,49.86778516355219,49.75000036861686,49.86548445525338,1.6010037526822447e-11,5.074858369257298e-06,1.601003741003399e-11,5.074858369258255e-06,1e+21,0.0,0.0,0.45,0.450000009946011,3.3336442833451937e-18
809.0,0.45000142959502065,0.6299568712287531,49.954075332601576,49.90815066520315,49.870085871850996,49.81004312023395,49.86778516355219,49.7500003686169,49.86548445525338,1.6010037526816986e-11,5.074858369257298e-06,1.601003758327113e-11,5.074858369258263e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451937e-18
810.0,0.4500014295950465,0.6299568712287893,49.954075332601576,49.90815066520315,49.87008587185099,49.81004312023397,49.867785163552185,49.75000036861694,49.86548445525338,1.601003752680971e-11,5.074858369257298e-06,1.6010037460220294e-11,5.0748583692582785e-06,1e+21,0.0,0.0,0.45,0.4500000099460117,3.3336442833451937e-18
811.0,0.45000142959505746,0.6299568712288046,49.954075332601576,49.90815066520315,49.87008587185099,49.810043120233985,49.867785163552185,49.75000036861698,49.86548445525338,1.601003752680607e-11,5.074858369257298e-06,1.6010037633459385e-11,5.074858369258296e-06,1e+21,0.0,0.0,0.45,0.4500000099460118,3.3336442833451937e-18
812.0,0.45000142959502115,0.6299568712287538,49.95407533260157,49.90815066520315,49.870085871850996,49.810043120234,49.867785163552185,49.750000368617016,49.86548445525338,1.6010037526802436e-11,5.074858369272345e-06,1.6010037510410563e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18
813.0,0.45000142959497785,0.6299568712286931,49.954075332601576,49.908150665203145,49.87008587185099,49.81004312023402,49.86778516355219,49.750000368617044,49.86548445525338,1.601003752679516e-11,5.07485836924225e-06,1.6010037387362758e-11,5.074858369258288e-06,1e+21,0.0,0.0,0.45,0.4500000099460108,3.3336442833451937e-18
814.0,0.45000142959500034,0.6299568712287247,49.954075332601576,49.908150665203145,49.87008587185099,49.81004312023404,49.86778516355219,49.75000036861709,49.86548445525338,1.6010037526789702e-11,5.07485836924225e-06,1.601003756060477e-11,5.074858369258289e-06,1e+21,0.0,0.0,0.45,0.4500000099460111,3.3336442833451937e-18
815.0,0.450001429595045,0.6299568712287872,49.95407533260157,49.90815066520315,49.87008587185099,49.810043120234056,49.867785163552185,49.75000036861713,49.86548445525338,1.6010037526786064e-11,5.074858369257298e-06,1.6010037733847756e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.4500000099460117,3.3336442833451933e-18
816.0,0.4500014295950686,0.6299568712288203,49.95407533260157,49.90815066520315,49.870085871850996,49.81004312023408,49.867785163552185,49.750000368617165,49.86548445525338,1.6010037526782425e-11,5.074858369272345e-06,1.6010037610802944e-11,5.074858369258308e-06,1e+21,0.0,0.0,0.45,0.45000000994601197,3.3336442833451933e-18
817.0,0.4500014295950212,0.6299568712287539,49.954075332601576,49.90815066520315,49.870085871850996,49.8100431202341,49.867785163552185,49.7500003686172,49.86548445525338,1.601003752677697e-11,5.074858369272345e-06,1.6010037487759152e-11,5.074858369258311e-06,1e+21,0.0,0.0,0.45,0.4500000099460113,3.3336442833451937e-18
818.0,0.4500014295949752,0.6299568712286894,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023411,49.867785163552185,49.750000368617236,49.86548445525338,1.6010037526771514e-11,5.074858369257298e-06,1.6010037661005062e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.45000000994601075,3.3336442833451933e-18
819.0,0.45000142959499456,0.6299568712287166,49.95407533260157,49.908150665203145,49.87008587185099,49.810043120234134,49.867785163552185,49.75000036861727,49.86548445525338,1.6010037526766056e-11,5.074858369257298e-06,1.6010037537963283e-11,5.074858369258296e-06,1e+21,0.0,0.0,0.45,0.450000009946011,3.3336442833451933e-18
820.0,0.4500014295950448,0.6299568712287869,49.95407533260157,49.90815066520315,49.87008587185099,49.810043120234155,49.867785163552185,49.750000368617314,49.86548445525338,1.60100375267606e-11,5.074858369257298e-06,1.601003771121114e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.45000000994601164,3.3336442833451933e-18
821.0,0.4500014295950913,0.6299568712288519,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023416,49.867785163552185,49.75000036861735,49.86548445525338,1.601003752675696e-11,5.074858369257298e-06,1.6010037588171363e-11,5.074858369258312e-06,1e+21,0.0,0.0,0.45,0.45000000994601225,3.3336442833451933e-18
822.0,0.45000142959505585,0.6299568712288024,49.95407533260157,49.90815066520315,49.870085871850996,49.810043120234184,49.867785163552185,49.75000036861738,49.86548445525338,1.6010037526753322e-11,5.074858369272345e-06,1.6010037465132606e-11,5.074858369258324e-06,1e+21,0.0,0.0,0.45,0.4500000099460118,3.3336442833451933e-18
823.0,0.45000142959496114,0.6299568712286698,49.954075332601576,49.908150665203145,49.87008587185099,49.810043120234205,49.867785163552185,49.75000036861742,49.86548445525338,1.6010037526746045e-11,5.074858369257298e-06,1.6010037638383404e-11,5.074858369258308e-06,1e+21,0.0,0.0,0.45,0.4500000099460105,3.3336442833451937e-18
824.0,0.4500014295949808,0.6299568712286973,49.95407533260157,49.908150665203145,49.87008587185099,49.810043120234226,49.867785163552185,49.75000036861746,49.86548445525338,1.601003752674059e-11,5.074858369257298e-06,1.601003751534665e-11,5.0748583692583065e-06,1e+21,0.0,0.0,0.45,0.4500000099460108,3.3336442833451933e-18
825.0,0.4500014295950441,0.6299568712287859,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023424,49.867785163552185,49.7500003686175,49.86548445525338,1.6010037526736953e-11,5.074858369257298e-06,1.6010037688599393e-11,5.074858369258308e-06,1e+21,0.0,0.0,0.45,0.45000000994601164,3.3336442833451933e-18
826.0,0.4500014295950802,0.6299568712288365,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023426,49.867785163552185,49.750000368617535,49.86548445525338,1.6010037526731496e-11,5.074858369257298e-06,1.6010037565564643e-11,5.074858369258319e-06,1e+21,0.0,0.0,0.45,0.45000000994601214,3.3336442833451933e-18
827.0,0.45000142959502115,0.6299568712287538,49.954075332601576,49.908150665203145,49.87008587185099,49.810043120234276,49.867785163552185,49.75000036861756,49.86548445525338,1.6010037526727857e-11,5.074858369257298e-06,1.6010037442530917e-11,5.074858369258319e-06,1e+21,0.0,0.0,0.45,0.4500000099460113,3.3336442833451937e-18
828.0,0.45000142959497486,0.6299568712286889,49.95407533260157,49.908150665203145,49.870085871850996,49.8100431202343,49.867785163552185,49.750000368617606,49.86548445525338,1.601003752672422e-11,5.074858369272345e-06,1.60100376157866e-11,5.074858369258302e-06,1e+21,0.0,0.0,0.45,0.45000000994601075,3.3336442833451933e-18
829.0,0.45000142959499434,0.6299568712287162,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023432,49.867785163552185,49.75000036861765,49.86548445525338,1.6010037526716942e-11,5.074858369257298e-06,1.6010037789043234e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.450000009946011,3.3336442833451933e-18
830.0,0.45000142959504486,0.629956871228787,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023433,49.867785163552185,49.750000368617684,49.86548445525339,1.6010037526713304e-11,5.074858369257298e-06,1.60100376660125e-11,5.074858369258602e-06,1e+21,0.0,0.0,0.45,0.4500000099460117,3.3336442833451933e-18
831.0,0.45000142959509143,0.6299568712288521,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023435,49.867785163552185,49.75000036861771,49.86548445525338,1.601003752670785e-11,5.074858369257298e-06,1.601003754298279e-11,5.0748583692583175e-06,1e+21,0.0,0.0,0.45,0.4500000099460123,3.3336442833451933e-18
832.0,0.45000142959505807,0.6299568712288055,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023437,49.867785163552185,49.75000036861775,49.86548445525338,1.6010037526702392e-11,5.074858369257298e-06,1.6010037419954085e-11,5.074858369258333e-06,1e+21,0.0,0.0,0.45,0.4500000099460118,3.3336442833451933e-18
833.0,0.45000142959495193,0.6299568712286568,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023439,49.867785163552185,49.75000036861779,49.86548445525338,1.6010037526698754e-11,5.074858369272345e-06,1.601003759321465e-11,5.074858369258312e-06,1e+21,0.0,0.0,0.45,0.4500000099460104,3.3336442833451933e-18
834.0,0.4500014295949434,0.6299568712286449,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023441,49.86778516355219,49.750000368617826,49.86548445525338,1.6010037526693297e-11,5.074858369257298e-06,1.601003747018796e-11,5.074858369258296e-06,1e+21,0.0,0.0,0.45,0.4500000099460103,3.3336442833451933e-18
835.0,0.4500014295949863,0.6299568712287049,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023443,49.86778516355219,49.75000036861786,49.86548445525338,1.601003752668602e-11,5.07485836924225e-06,1.6010037347162288e-11,5.0748583692582845e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
836.0,0.4500014295950346,0.6299568712287726,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023445,49.867785163552185,49.7500003686179,49.86548445525338,1.6010037526682382e-11,5.074858369257298e-06,1.6010037520425775e-11,5.07485836925828e-06,1e+21,0.0,0.0,0.45,0.4500000099460115,3.3336442833451933e-18
837.0,0.4500014295950244,0.6299568712287583,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023447,49.86778516355219,49.75000036861794,49.86548445525338,1.6010037526676927e-11,5.07485836924225e-06,1.6010037693690244e-11,5.074858369258285e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18
838.0,0.4500014295949699,0.629956871228682,49.95407533260157,49.908150665203145,49.870085871850996,49.810043120234496,49.867785163552185,49.750000368617975,49.86548445525338,1.6010037526671467e-11,5.074858369272345e-06,1.6010037570667565e-11,5.0748583692582785e-06,1e+21,0.0,0.0,0.45,0.45000000994601064,3.3336442833451933e-18
839.0,0.4500014295949639,0.6299568712286736,49.95407533260157,49.908150665203145,49.870085871850996,49.8100431202345,49.867785163552185,49.75000036861801,49.86548445525338,1.601003752666783e-11,5.074858369272345e-06,1.6010037447645904e-11,5.074858369258269e-06,1e+21,0.0,0.0,0.45,0.4500000099460106,3.3336442833451933e-18
840.0,0.45000142959498796,0.6299568712287072,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023452,49.86778516355219,49.750000368618046,49.86548445525338,1.601003752666419e-11,5.074858369257298e-06,1.6010037324625264e-11,5.074858369258263e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
841.0,0.45000142959502343,0.629956871228757,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023453,49.86778516355219,49.75000036861808,49.86548445525338,1.6010037526658736e-11,5.07485836924225e-06,1.6010037497893643e-11,5.074858369258266e-06,1e+21,0.0,0.0,0.45,0.4500000099460114,3.3336442833451933e-18
842.0,0.45000142959502437,0.6299568712287582,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023456,49.867785163552185,49.750000368618124,49.86548445525338,1.601003752665146e-11,5.074858369257298e-06,1.6010037671162975e-11,5.074858369258273e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18
843.0,0.45000142959497275,0.629956871228686,49.95407533260157,49.908150665203145,49.870085871850996,49.810043120234575,49.86778516355219,49.75000036861816,49.86548445525339,1.601003752664964e-11,5.074858369257298e-06,1.6010037548145327e-11,5.074858369258569e-06,1e+21,0.0,0.0,0.45,0.4500000099460107,3.3336442833451933e-18
844.0,0.4500014295949697,0.6299568712286817,49.95407533260157,49.908150665203145,49.870085871850996,49.810043120234596,49.86778516355219,49.750000368618196,49.86548445525339,1.6010037526644183e-11,5.074858369257298e-06,1.6010037425128704e-11,5.074858369258566e-06,1e+21,0.0,0.0,0.45,0.45000000994601064,3.3336442833451933e-18
845.0,0.4500014295949881,0.6299568712287075,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023462,49.867785163552185,49.750000368618224,49.86548445525338,1.601003752663873e-11,5.074858369272345e-06,1.6010037302113095e-11,5.074858369258262e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
846.0,0.45000142959500067,0.6299568712287251,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023463,49.867785163552185,49.75000036861827,49.86548445525338,1.601003752663327e-11,5.074858369257298e-06,1.6010037475386356e-11,5.0748583692582565e-06,1e+21,0.0,0.0,0.45,0.4500000099460111,3.3336442833451933e-18
847.0,0.45000142959498723,0.6299568712287062,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023465,49.867785163552185,49.75000036861831,49.86548445525338,1.6010037526627814e-11,5.074858369257298e-06,1.601003764866058e-11,5.074858369258255e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
848.0,0.45000142959499567,0.6299568712287181,49.954075332601576,49.90815066520315,49.870085871850996,49.810043120234674,49.86778516355219,49.75000036861835,49.86548445525339,1.6010037526622356e-11,5.074858369257298e-06,1.601003782193576e-11,5.074858369258555e-06,1e+21,0.0,0.0,0.45,0.450000009946011,3.3336442833451937e-18
849.0,0.45000142959502065,0.6299568712287531,49.954075332601576,49.90815066520315,49.870085871850996,49.81004312023469,49.86778516355219,49.75000036861839,49.86548445525338,1.6010037526618718e-11,5.074858369257298e-06,1.6010037698924133e-11,5.074858369258263e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451937e-18
850.0,0.4500014295950466,0.6299568712287893,49.95407533260157,49.90815066520315,49.87008587185099,49.8100431202347,49.867785163552185,49.750000368618416,49.86548445525338,1.601003752661326e-11,5.074858369257298e-06,1.601003757591352e-11,5.074858369258278e-06,1e+21,0.0,0.0,0.45,0.4500000099460117,3.3336442833451933e-18
851.0,0.4500014295950575,0.6299568712288046,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023472,49.867785163552185,49.75000036861845,49.86548445525338,1.6010037526609625e-11,5.074858369257298e-06,1.601003745290393e-11,5.074858369258296e-06,1e+21,0.0,0.0,0.45,0.4500000099460118,3.3336442833451933e-18
852.0,0.4500014295950212,0.6299568712287539,49.954075332601576,49.90815066520315,49.870085871850996,49.810043120234745,49.867785163552185,49.750000368618494,49.86548445525338,1.6010037526604165e-11,5.074858369272345e-06,1.6010037626183036e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451937e-18
853.0,0.45000142959497785,0.6299568712286931,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023476,49.86778516355219,49.75000036861852,49.86548445525338,1.601003752659871e-11,5.07485836924225e-06,1.6010037206887807e-11,5.074858369258288e-06,1e+21,0.0,0.0,0.45,0.4500000099460108,3.3336442833451933e-18
