time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
609.0,0.0,0.45,0.45000000994601086,3.3336442833451937e-18,5.089396271693964e-17,2.774623574000634e-18,2.772464214952244e-18,0.4956690227167974,-3.4562396421479415e-08,0.4956690227167977,1.6619182754424637e-19,0.45066894077816033,0.45000142959498596,0.45066894077816033,1.6638842193909977e-19,0.45,0.4956690227167977,0.4501102867722245,1.079350919975319e-14,2.7664566654243197e-18,0.45,0.45066894077816033,0.450668940778157,1.0708375100614709e-14,2.7730098119194316e-18,0.45000142959498596,0.6299568712287045,49.954075332601576,49.908150665203145,49.870085871850996,49.81004312023025,49.86778516355219,49.75000036860951,49.86548445525338
610.0,0.0,0.45,0.45000000994601086,3.3336442833451937e-18,5.0893962716939714e-17,2.774623574000634e-18,2.772464214952244e-18,0.49566902271679775,-3.4562396421472076e-08,0.4956690227167977,1.6619182754424646e-19,0.4506689407781603,0.45000142959498657,0.4506689407781603,1.6638842193909977e-19,0.45,0.4956690227167977,0.4501103205390872,1.0793509929149993e-14,2.7664566654243217e-18,0.45,0.4506689407781603,0.45066894077815767,1.0708375100614725e-14,2.773009811919432e-18,0.4500014295949866,0.6299568712287055,49.954075332601576,49.908150665203145,49.870085871850996,49.810043120230276,49.86778516355219,49.75000036860955,49.86548445525339
611.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18,5.089396271693977e-17,2.7746235740006344e-18,2.772464214952244e-18,0.4956690227167978,-3.4562396421474624e-08,0.4956690227167977,1.6619182754424654e-19,0.4506689407781602,0.45000142959498707,0.4506689407781602,1.6638842193909977e-19,0.45,0.4956690227167977,0.45011035430592494,1.0793510658546254e-14,2.7664566654243236e-18,0.45,0.4506689407781602,0.45066894077815817,1.0708375100614736e-14,2.7730098119194316e-18,0.45000142959498707,0.629956871228706,49.95407533260157,49.90815066520315,49.870085871850996,49.8100431202303,49.86778516355219,49.750000368609584,49.86548445525338
612.0,0.0,0.45,0.45000000994601086,3.3336442833451933e-18,5.089396271693961e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.49566902271679747,-3.456239642149292e-08,0.4956690227167977,1.6619182754424658e-19,0.45066894077816033,0.4500014295949857,0.4506689407781604,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011038807273773,1.0793511387941975e-14,2.7664566654243255e-18,0.45,0.4506689407781604,0.4506689407781587,1.0708375100614747e-14,2.7730098119194316e-18,0.4500014295949857,0.6299568712287041,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023031,49.867785163552185,49.75000036860962,49.86548445525338
613.0,0.0,0.45,0.45000000994601097,3.3336442833451937e-18,5.0893962716940664e-17,2.774623574000634e-18,2.772464214952244e-18,0.49566902271679764,-3.456239642149039e-08,0.4956690227167977,1.6619182754424663e-19,0.45066894077815944,0.4500014295949949,0.45066894077815944,1.6638842193909977e-19,0.45,0.4956690227167977,0.45011042183952527,1.0793512117337155e-14,2.766456665424328e-18,0.45,0.4506689407781594,0.45066894077815917,1.0708375100614753e-14,2.7730098119194316e-18,0.450001429594995,0.6299568712287171,49.954075332601576,49.908150665203145,49.870085871850996,49.810043120230326,49.86778516355219,49.75000036860966,49.86548445525338
614.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18,5.089396271694354e-17,2.7746235740006344e-18,2.772464214952244e-18,0.49566902271679775,-3.456239642148124e-08,0.4956690227167977,1.661918275442467e-19,0.45066894077815695,0.4500014295950204,0.45066894077815695,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011045560628793,1.0793512846731794e-14,2.76645666542433e-18,0.45,0.4506689407781569,0.45066894077815894,1.0708375100614743e-14,2.7730098119194316e-18,0.45000142959502043,0.6299568712287528,49.95407533260157,49.90815066520315,49.870085871850996,49.81004312023035,49.867785163552185,49.7500003686097,49.86548445525338
615.0,0.0,0.45,0.4500000099460117,3.3336442833451933e-18,5.0893962716946475e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.4956690227167978,-3.456239642146218e-08,0.4956690227167977,1.6619182754424678e-19,0.45066894077815434,0.45000142959504635,0.45066894077815434,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011048937302567,1.0793513576125894e-14,2.766456665424332e-18,0.45,0.45066894077815434,0.45066894077815833,1.0708375100614726e-14,2.7730098119194316e-18,0.45000142959504635,0.6299568712287891,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023037,49.867785163552185,49.75000036860973,49.86548445525338
616.0,0.0,0.45,0.4500000099460118,3.3336442833451933e-18,5.089396271694769e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.4956690227167977,-3.4562396421429916e-08,0.4956690227167977,1.6619182754424685e-19,0.4506689407781533,0.4500014295950571,0.4506689407781533,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501105231397383,1.079351430551945e-14,2.7664566654243344e-18,0.45,0.4506689407781533,0.45066894077815756,1.0708375100614706e-14,2.7730098119194316e-18,0.4500014295950571,0.6299568712288041,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023039,49.867785163552185,49.750000368609776,49.86548445525338
617.0,0.0,0.45,0.45000000994601136,3.3336442833451937e-18,5.0893962716943634e-17,2.7746235740006344e-18,2.772464214952244e-18,0.4956690227167975,-3.456239642141343e-08,0.4956690227167977,1.661918275442469e-19,0.45066894077815683,0.4500014295950213,0.45066894077815683,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501105569064258,1.0793515034912468e-14,2.7664566654243363e-18,0.45,0.45066894077815683,0.45066894077815695,1.07083751006147e-14,2.7730098119194316e-18,0.45000142959502126,0.6299568712287539,49.954075332601576,49.90815066520315,49.870085871850996,49.810043120230404,49.867785163552185,49.75000036860981,49.86548445525338
618.0,0.0,0.45,0.45000000994601075,3.3336442833451933e-18,5.089396271693849e-17,2.774623574000634e-18,2.7724642149522437e-18,0.4956690227167977,-3.456239642146625e-08,0.4956690227167977,1.6619182754424692e-19,0.45066894077816144,0.4500014295949758,0.4506689407781614,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011059067308834,1.0793515764304945e-14,2.7664566654243386e-18,0.45,0.4506689407781614,0.4506689407781573,1.0708375100614717e-14,2.7730098119194316e-18,0.45000142959497574,0.6299568712286902,49.95407533260157,49.908150665203145,49.87008587185099,49.810043120230404,49.867785163552185,49.75000036860985,49.86548445525338
