time,PV1__R_constriction,PV1__u_mmHg,PV1__v_mm3_s,PV2__R_constriction,PV2__u_mmHg,PV2__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
621.0,1e+21,49.809975562130646,1.5992031654609622e-11,0.0,49.86765215803061,5.080135535181155e-06,49.75000034197002,1.5992031559998274e-11,49.86535353376995,5.080135535165176e-06,0.4500014165790471,0.6306141609783259,49.86995078229127,49.90805515761714,0.45000000000000057,0.45,0.0,1.5269640434910632e-14,49.95402757880858
622.0,1e+21,49.80997556213057,1.599203165463611e-11,0.0,49.86765215803061,5.080135535181155e-06,49.750000341969866,1.5992031525247705e-11,49.86535353376995,5.080135535165182e-06,0.450001416579047,0.6306141609783258,49.86995078229127,49.90805515761714,0.4500000000000005,0.45,0.0,1.526964043491063e-14,49.95402757880857
623.0,1e+21,49.80997556213049,1.599203165466442e-11,0.0,49.867652158030616,5.08013553516608e-06,49.75000034196971,1.5992031490582404e-11,49.86535353376995,5.080135535165189e-06,0.4500014165790469,0.6306141609783257,49.86995078229127,49.90805515761714,0.45000000000000046,0.45,0.0,1.526964043491063e-14,49.95402757880857
624.0,1e+21,49.80997556213041,1.599203165469091e-11,0.0,49.86765215803061,5.080135535181158e-06,49.75000034196956,1.5992031775019903e-11,49.86535353376995,5.080135535165195e-06,0.4500014165790468,0.6306141609783256,49.86995078229127,49.90805515761714,0.4500000000000003,0.45,0.0,1.5269640434910625e-14,49.95402757880857
625.0,1e+21,49.809975562130326,1.5992031654721036e-11,0.0,49.86765215803061,5.080135535181158e-06,49.750000341969404,1.599203174052528e-11,49.86535353376995,5.0801355351652e-06,0.4500014165790467,0.6306141609783253,49.86995078229127,49.90805515761714,0.4500000000000002,0.45,0.0,1.5269640434910622e-14,49.95402757880857
626.0,1e+21,49.80997556213025,1.599203165474571e-11,0.0,49.86765215803061,5.080135535166084e-06,49.750000341969255,1.5992032025133735e-11,49.86535353376995,5.080135535165203e-06,0.4500014165790467,0.6306141609783253,49.86995078229126,49.90805515761714,0.4500000000000002,0.45,0.0,1.5269640434910622e-14,49.95402757880858
627.0,1e+21,49.80997556213018,1.599203165477038e-11,0.0,49.86765215803061,5.080135535166084e-06,49.75000034196909,1.5992031671791817e-11,49.86535353376995,5.080135535165207e-06,0.45000141657904674,0.6306141609783255,49.86995078229126,49.90805515761714,0.4500000000000002,0.45,0.0,1.526964043491062e-14,49.95402757880858
628.0,1e+21,49.8099755621301,1.5992031654798687e-11,0.0,49.867652158030616,5.080135535151007e-06,49.750000341968935,1.599203163755298e-11,49.86535353376995,5.08013553516521e-06,0.45000141657904663,0.6306141609783253,49.86995078229126,49.90805515761714,0.4500000000000001,0.45,0.0,1.526964043491062e-14,49.95402757880858
629.0,1e+21,49.80997556213002,1.5992031654827e-11,0.0,49.86765215803061,5.080135535181018e-06,49.75000034196878,1.599203192241767e-11,49.865353533769955,5.08013553516552e-06,0.45000141657907194,0.6306141609783608,49.86995078229127,49.90805515761715,0.45000000000000023,0.45,0.0,1.526964043491061e-14,49.95402757880858
630.0,1e+21,49.80997556212995,1.599203165485167e-11,0.0,49.86765215803061,5.080135535166034e-06,49.750000341968615,1.5992031569331097e-11,49.865353533769955,5.080135535165426e-06,0.45000141657902665,0.6306141609782973,49.86995078229126,49.90805515761715,0.4499999999999955,0.45,0.0,1.5269640434910483e-14,49.95402757880858
631.0,1e+21,49.809975562129864,1.5992031654881796e-11,0.0,49.867652158030616,5.0801355351664095e-06,49.75000034196846,1.5992031535348036e-11,49.865353533769955,5.080135535165671e-06,0.45000141657904297,0.6306141609783201,49.86995078229127,49.90805515761714,0.44999999999999674,0.45,0.0,1.5269640434910515e-14,49.95402757880858
632.0,1e+21,49.80997556212979,1.5992031654908286e-11,0.0,49.867652158030616,5.080135535166219e-06,49.75000034196831,1.599203182046894e-11,49.865353533769955,5.0801355351655514e-06,0.45000141657904663,0.6306141609783253,49.86995078229127,49.90805515761714,0.4499999999999973,0.45,0.0,1.526964043491053e-14,49.95402757880858
633.0,1e+21,49.80997556212971,1.5992031654934775e-11,0.0,49.867652158030616,5.080135535152062e-06,49.75000034196815,1.5992031786656547e-11,49.865353533769955,5.080135535165483e-06,0.4500014165790455,0.6306141609783238,49.86995078229126,49.90805515761715,0.4499999999999977,0.45,0.0,1.5269640434910543e-14,49.95402757880858
634.0,1e+21,49.80997556212964,1.5992031654961267e-11,0.0,49.8676521580306,5.080135535185989e-06,49.750000341968004,1.5992032071948397e-11,49.86535353376995,5.080135535165748e-06,0.45000141657904325,0.6306141609783206,49.86995078229126,49.90805515761714,0.44999999999999796,0.45,0.0,1.5269640434910556e-14,49.95402757880858
635.0,1e+21,49.80997556212953,1.5992031654987753e-11,0.0,49.86765215803058,5.080135535179284e-06,49.75000034196784,1.5992031719287526e-11,49.865353533769934,5.080135535166934e-06,0.4500014165790438,0.6306141609783212,49.869950782291234,49.90805515761712,0.4499999999999983,0.45,0.0,1.5269640434910565e-14,49.954027578808564
636.0,1e+21,49.80997556212946,1.5992031655010607e-11,0.0,49.86765215803057,5.080135535154713e-06,49.75000034196768,1.5992031366711613e-11,49.86535353376991,5.0801355351670846e-06,0.45000141657904513,0.6306141609783231,49.86995078229122,49.90805515761712,0.4499999999999986,0.45,0.0,1.5269640434910572e-14,49.954027578808564
637.0,1e+21,49.80997556212938,1.5992031655037093e-11,0.0,49.86765215803058,5.080135535133207e-06,49.75000034196753,1.5992031652259514e-11,49.865353533769905,5.080135535166592e-06,0.45000141657904535,0.6306141609783235,49.86995078229122,49.90805515761712,0.4499999999999988,0.45,0.0,1.5269640434910578e-14,49.954027578808564
638.0,1e+21,49.80997556212931,1.599203165506722e-11,0.0,49.86765215803059,5.080135535148885e-06,49.75000034196737,1.5992031618873397e-11,49.86535353376992,5.080135535166561e-06,0.45000141657904547,0.6306141609783237,49.869950782291234,49.90805515761713,0.44999999999999896,0.45,0.0,1.5269640434910584e-14,49.954027578808564
639.0,1e+21,49.80997556212923,1.5992031655097348e-11,0.0,49.867652158030594,5.080135535167102e-06,49.750000341967215,1.599203158557251e-11,49.865353533769934,5.080135535166466e-06,0.4500014165790456,0.6306141609783238,49.86995078229125,49.90805515761713,0.4499999999999991,0.45,0.0,1.5269640434910587e-14,49.954027578808564
640.0,1e+21,49.809975562129154,1.5992031655125653e-11,0.0,49.867652158030594,5.08013553518335e-06,49.75000034196705,1.599203155235689e-11,49.86535353376994,5.08013553516639e-06,0.4500014165790458,0.6306141609783241,49.869950782291255,49.908055157617135,0.4499999999999993,0.45,0.0,1.526964043491059e-14,49.95402757880857
641.0,1e+21,49.80997556212908,1.5992031655150323e-11,0.0,49.867652158030594,5.0801355351664535e-06,49.7500003419669,1.5992031838246522e-11,49.865353533769934,5.080135535165935e-06,0.4500014165790459,0.6306141609783242,49.86995078229125,49.908055157617135,0.4499999999999994,0.45,0.0,1.5269640434910597e-14,49.95402757880857
642.0,1e+21,49.809975562129004,1.599203165517681e-11,0.0,49.867652158030594,5.080135535165795e-06,49.75000034196674,1.5992031486181377e-11,49.86535353376994,5.080135535166014e-06,0.450001416579046,0.6306141609783245,49.86995078229125,49.908055157617135,0.4499999999999995,0.45,0.0,1.52696404349106e-14,49.95402757880857
